Abazajian, K.
Abbas, A.
Abbeele, G.
Abhishek, V.
Adams, T.
Adeleye, A.
Agapie, E.
Aggarwal, N.
Aghakouchak, A.
Aghasi, H.
Aguilar-Roca, N.
Ahmad, A.
Ahmed, A.
Ahmed, I.
Ahn, J.
Aigner, D.
Akagi, K.
Akasaki, T.
Al-Bulushi, S.
Al-Bulushi, Y.
Alachkar, A.
Alao, N.
Albrecht, L.
Alcaraz, L.
Alexander, J.
Alfaro, S.
Allaire, M.
Allard, J.
Allen, E.
Allison, S.
Amenta, E.
Amin, A.
Amiran, E.
Anastas, R.
Andreasen, M.
Andricioaei, I.
Ang, A.
Anton, M.
Aouad, M.
Apelian, D.
Apkarian, A.
Appel, K.
Arasasingham, R.
Archer, C.
Arditti, J.
Ardo, S.
Ardona, H.
Arguilla, M.
Arora, K.
Arthi, V.
Arum, R.
Ascher, K.
Ashar, S.
Aswad, D.
Atanassov, P.
Athanasiou, K.
Atluri, S.
Atsatt, P.
Atwood, S.
Au, S.
Aviles, L.
Avise, J.
Awad, S.
Ayanoglu, E.
Bagherzadeh, N.
Bailey, D.
Bailey, S.
Baker, R.
Baldi, B.
Baldi, P.
Baldwin, J.
Baldwin, M.
Balibar, E.
Ballakrishnen, S.
Bandelj, N.
Banerjee, T.
Baranovsky, V.
Barbour, A.
Bardwell, L.
Barker, S.
Barnes, M.
Barrett, J.
Barry, R.
Bartell, S.
Barth, A.
Bartlett, J.
Barty, C.
Barwick, S.
Basolo, M.
Bassham, C.
Basu, S.
Bauer, A.
Baum, E.
Bean, F.
Beck, R.
Becker, H.
Beckmann, M.
Bedelian, L.
Beier, K.
Bell, D.
Benavente, C.
Bencivenga, E.
Bender, M.
Benford, G.
Bennett, A.
Bennett, F.
Berberian, H.
Berenji, M.
Berg, B.
Berg, J.
Bergemann, P.
Berk, H.
Berkelhamer, R.
Bernal, V.
Bernard, H.
Bernecker, S.
Berns, M.
Berrocal, V.
Bess, E.
Best, N.
Betancourt, R.
Bian, J.
Bic, L.
Bic, Z.
Biendarra, A.
Bietz, M.
Binder, A.
Black, R.
Blake, D.
Blake, D.
Blank, J.
Block, S.
Blum, S.
Blumberg, B.
Blurton-Jones, M.
Bobrow, J.
Bode, H.
Boden-Albala, B.
Boellstorff, T.
Bogart, D.
Bohlson, S.
Bojd, B.
Bollens, S.
Boncompagni, A.
Bondy, S.
Borba, A.
Borelli, J.
Bornstein, A.
Bornstein, J.
Borovik, A.
Borrelli, E.
Borucki, A.
Bostanabad, R.
Botvinick, E.
Bounds, D.
Boushey, G.
Bowker, G.
Bowler, P.
Bowman, W.
Boyd, J.
Boyraz, O.
Bozorgzadeh, E.
Bracken, M.
Bradford, A.
Bradford, K.
Bradford, T.
Bradley, T.
Branch, W.
Brando, P.
Branham, S.
Brant, D.
Brestoff, R.
Brewer, A.
Brewer, G.
Briscoe, A.
Brodbeck, D.
Bromiley, P.
Brouillette, L.
Brouwer, J.
Brown, D.
Brown, S.
Brown, S.
Browne, A.
Brownstone, D.
Bruckner, T.
Brueckner, J.
Brunstetter, D.
Bryant, P.
Bryant, S.
Buchmeier, M.
Bueno, M.
Buisson, R.
Bullock, J.
Buote, D.
Burk, D.
Burke, C.
Burke, K.
Burke, L.
Burke, P.
Burke, S.
Burley, N.
Burt, E.
Burton, C.
Burton, M.
Burtsev, A.
Busciglio, J.
Bush, R.
Bustamante, A.
Buswell, N.
Butts, C.
Cabatingan, L.
Cadiz, C.
Cahill, L.
Calavita, K.
Calof, A.
Camacho, A.
Campbell, D.
Campbell, R.
Campbell, S.
Campo, M.
Campos, B.
Cane, E.
Canepa, M.
Cao, H.
Cao, P.
Capolino, F.
Carey, M.
Carlo, G.
Carlson, R.
Carlton, A.
Carpenter, F.
Carrillo, J.
Carroll, A.
Carroll, D.
Carson, J.
Carter, D.
Carter, P.
Cartier, M.
Carvalho, J.
