id,department,number,school,title,course_level,department_alias,units,description,department_name,professor_history,prerequisite_tree,prerequisite_list,prerequisite_text,prerequisite_for,repeatability,grading_option,concurrent,same_as,restriction,overlap,corequisite,ge_list,ge_text,terms
ACENG139W,AC ENG,139W,School of Humanities,Advanced Academic Writing Across the Curriculum,Upper Division (100-199),[],"[4, 4]","Designed for transfer students who speak English as a second language. Focuses on developing academic reading and writing skills including essay content, organization, vocabulary, and grammar. Academic content also covered.",Academic English,[],,[], Satisfactory completion of the Lower-Division Writing requirement.,['GEN&SEX 197'],,,,,Restricted to students whose first language is not English.,,,['GE Ib: Upper Division Writing'],(Ib),"['2019 Winter', '2019 Spring', '2019 Fall', '2020 Winter', '2020 Spring', '2020 Summer1', '2020 Summer10wk', '2020 Fall', '2021 Winter', '2021 Spring', '2021 Fall', '2022 Winter', '2022 Spring', '2022 Fall']"
ACENG200,AC ENG,200,School of Humanities,Oral English Communication I,Graduate/Professional Only (200+),[],"[2, 2]","Designed to help students hear and produce the sounds of English as an International Language with greater accuracy and confidence. Focuses on pronunciation features (e.g., consonant sounds, consonant clusters, vowels, thought groups, and nuclear stress).",Academic English,[],,[],,[],May be taken for credit 3 times.,Satisfactory/unsatisfactory only.,,,Graduate students only.,,,[],,['2022 Fall']
ACENG201,AC ENG,201,School of Humanities,Oral English Communication II,Graduate/Professional Only (200+),[],"[2, 2]","Designed to help students develop conversational fluency in English as an International Language. Focuses on applying knowledge of linguistic features and communicative skills during conversational exchange in a variety of social, academic, and professional contexts.",Academic English,[],,[],,[],May be taken for credit 3 times.,Satisfactory/unsatisfactory only.,,,Graduate students only.,,,[],,['2022 Fall']
ACENG202,AC ENG,202,School of Humanities,Oral English Communication III,Graduate/Professional Only (200+),[],"[2, 2]","Designed to help students hone their public speaking skills in English as an International Language. Focuses on preparing, organizing, and delivering speeches and presentations and interacting with the audience, emphasizing skills needed in academic settings.",Academic English,[],,[], AC ENG 23A or AC ENG 23B,[],May be taken for credit 3 times.,Satisfactory/unsatisfactory only.,,,Graduate students only.,,,[],,[]
ACENG20A,AC ENG,20A,School of Humanities,Academic Writing,Lower Division (1-99),[],"[5, 5]","Grammar, sentence structure, paragraph and essay organization of formal written English.",Academic English,[],"{""AND"":[""PLACEMENT EXAM or authorization""]}",['PLACEMENT EXAM or authorization'],PLACEMENT EXAM or authorization,['AC ENG 20B'],,Pass/no pass only.,,,,,,[],,"['2019 Winter', '2019 Fall', '2020 Winter', '2020 Spring', '2020 Fall', '2021 Winter', '2021 Spring', '2021 Fall', '2022 Winter', '2022 Fall']"
ACENG20B,AC ENG,20B,School of Humanities,Academic Writing,Lower Division (1-99),[],"[5, 5]","Grammar, sentence structure, paragraph and essay organization of formal written English.",Academic English,[],"{""OR"":[""AC ENG 20A"",""PLACEMENT EXAM or authorization""]}","['PLACEMENT EXAM or authorization', 'AC ENG 20A']",( AC ENG 20A OR PLACEMENT EXAM or authorization ),['AC ENG 20C'],,Pass/no pass only.,,,,,,[],,"['2019 Winter', '2019 Spring', '2019 Fall', '2020 Winter', '2020 Spring', '2020 Fall', '2021 Winter', '2021 Spring', '2021 Fall', '2022 Winter', '2022 Spring', '2022 Fall']"
ACENG20C,AC ENG,20C,School of Humanities,Essentials of Academic Writing,Lower Division (1-99),[],"[5, 5]","Grammar, sentence structure, paragraph and essay organization of formal written English.",Academic English,[],"{""OR"":[""AC ENG 20B"",""PLACEMENT EXAM or authorization""]}","['PLACEMENT EXAM or authorization', 'AC ENG 20B']",( AC ENG 20B OR PLACEMENT EXAM or authorization ),['AC ENG 20D'],,Pass/no pass only.,,,,,,[],,"['2019 Winter', '2019 Spring', '2019 Fall', '2020 Winter', '2020 Spring', '2020 Fall', '2021 Winter', '2021 Spring', '2021 Fall', '2022 Winter', '2022 Spring', '2022 Fall']"
ACENG20D,AC ENG,20D,School of Humanities,Academic Writing,Lower Division (1-99),[],"[5, 5]","Grammar, sentence structure, paragraph and essay organization of formal written English.",Academic English,[],"{""AND"":[""AC ENG 20C""]}",['AC ENG 20C'], AC ENG 20C,[],,Pass/no pass only.,,,,,,[],,"['2019 Winter', '2019 Spring']"
ACENG210,AC ENG,210,School of Humanities,Introduction to Graduate Research Writing,Graduate/Professional Only (200+),[],"[2, 2]","Designed to introduce key components and skills for successful graduate-level academic writing. Topics cover summarizing and synthesizing sources, understanding appropriate source use conventions, developing and organizing ideas for research writing, revising, and editing.",Academic English,[],,[],,[],May be taken for credit 3 times.,Satisfactory/unsatisfactory only.,,,Graduate students only.,,,[],,['2022 Fall']
ACENG211,AC ENG,211,School of Humanities,Graduate Writing for Scholarly Publication,Graduate/Professional Only (200+),[],"[2, 2]",Designed to help graduate students in the preparation of a conference paper or journal manuscript for publication. Topics cover writing for academic publication in their fields and understanding disciplinary source use conventions.,Academic English,[],,[],,[],May be taken for credit 3 times.,Satisfactory/unsatisfactory only.,,,Graduate students only.,,,[],,['2022 Fall']
ACENG212,AC ENG,212,School of Humanities,Thesis/Dissertation Writing for Graduate Students,Graduate/Professional Only (200+),[],"[2, 2]","Designed to help graduate students in the preparation of a thesis/dissertation (or proposal). Topics cover planning a thesis/dissertation project, understanding the focuses and goals of different chapters, and practicing different ways of integrating sources to avoid plagiarism.",Academic English,[],,[],,[],May be taken for credit 3 times.,Satisfactory/unsatisfactory only.,,,Graduate students only.,,,[],,['2022 Fall']
