course_id,instructor,gradeACount,gradeBCount,gradeCCount,gradeDCount,gradeFCount,gradePCount,gradeNPCount
ACENG20C,"UNKNOWN, INSTRUCTOR",0,0,0,0,0,37,12
ACENG22B,"TRAN, T.",0,0,0,0,0,13,2
ACENG139W,"UNKNOWN, INSTRUCTOR",20,10,2,1,2,8,3
AFAM40A,[REDACTED],11,3,2,0,1,0,0
ANTHRO2A,"UNKNOWN, INSTRUCTOR",5,6,3,1,1,1,1
ANTHRO2B,"UNKNOWN, INSTRUCTOR",4,2,3,0,0,1,0
ANTHRO10A,"UNKNOWN, INSTRUCTOR",8,4,5,0,0,1,0
ANTHRO25A,"UNKNOWN, INSTRUCTOR",58,2,3,1,2,5,0
ANTHRO30A,"UNKNOWN, INSTRUCTOR",19,2,0,0,0,1,0
ANTHRO41A,"UNKNOWN, INSTRUCTOR",55,0,0,2,1,3,0
ANTHRO41A,"DARIAN-SMITH, E.",167,6,0,3,1,4,1
ANTHRO128B,[REDACTED],14,1,0,1,1,1,0
ANTHRO136K,"UNKNOWN, INSTRUCTOR",14,0,1,0,0,0,0
ART9A,"UNKNOWN, INSTRUCTOR",477,3,0,0,2,4,0
ART9C,"LEWIS, J.",1438,294,63,18,14,263,33
ART12A,"UNKNOWN, INSTRUCTOR",74,2,0,1,2,3,0
ART12B,"PENNY, S.",242,118,42,9,9,65,17
ART20A,"HUNT, J.",12,0,0,0,0,2,0
ART30A,"UNKNOWN, INSTRUCTOR",11,0,0,0,0,1,2
ART50A,"JACKSON, J.",149,15,0,0,1,7,3
ART65A,"UNKNOWN, INSTRUCTOR",39,1,0,0,1,1,1
ART65B,"JAVID, M.",37,1,3,0,1,2,2
ART81A,"UNKNOWN, INSTRUCTOR",14,0,0,0,0,5,0
ART100,"UNKNOWN, INSTRUCTOR",39,1,1,0,0,3,0
ART100,"VEGA, J.",400,27,2,3,5,18,3
ART101W,"UNKNOWN, INSTRUCTOR",21,0,0,0,0,0,0
ART132A,"JACKSON, J.",40,2,0,0,0,2,0
ARTHIS40A,"UNKNOWN, INSTRUCTOR",11,11,4,2,5,6,0
ARTHIS42B,[REDACTED],9,2,0,0,0,2,0
ARTHIS44,"UNKNOWN, INSTRUCTOR",8,1,0,0,1,3,2
ASIANAM54,"LEE, J.",479,49,9,4,7,25,0
ASIANAM55,"CHO, J.",562,60,7,0,2,62,2
BIOSCI9A,"UNKNOWN, INSTRUCTOR",15,2,1,0,0,3,0
BIOSCI9B,"TAAGEPERA, S.",660,301,138,32,29,114,18
BIOSCI35,"LALLAI, V.",36,10,4,0,1,0,0
BIOSCI36,"UNKNOWN, INSTRUCTOR",21,6,3,1,2,2,2
BIOSCI37,"DIAZ ALONSO, J.",19,3,0,0,1,1,0
BIOSCI38,"UNKNOWN, INSTRUCTOR",5,3,4,1,1,1,0
BIOSCI93,"NICHOLAS, A.",224,106,41,3,4,8,1
BIOSCI93,"UNKNOWN, INSTRUCTOR",52,31,24,7,1,3,2
BIOSCI94,"HENRY, A.",38,32,18,5,2,3,1
BIOSCI97,"UNKNOWN, INSTRUCTOR",69,15,3,1,0,0,1
BIOSCI97,"PARSONS, M.",53,40,15,8,3,0,1
BIOSCI98,"UNKNOWN, INSTRUCTOR",272,60,9,1,1,1,0
BIOSCI99,"SEWARD VARELA, J.",487,131,12,3,1,1,0
BIOSCI99,"MAHAVONGTRAKUL, M.",408,227,39,6,2,1,1
BIOSCI100,"UNKNOWN, INSTRUCTOR",116,64,20,0,0,6,0
