shortened_name,name,ucinetid,department
"ABAZAJIAN, K.",Kev Abazajian,kevork,Physics and Astronomy
"ABBAS, A.",Ackbar Abbas,mabbas,Comparative Literature
"ABDU JYOTHI, S.",Sangeetha Abdu Jyothi,sabdujyo,Computer Science
"ABHISHEK, V.",Vibhanshu Abhishek,vibs,Paul Merage School of Business
"ADAMS, T.",Tayloria Adams,tayloria,Chemical & Biomolecular Engineering
"ADELEYE, A.",Adeyemi S Adeleye,adeleyea,Civil & Environmental Engineering
"ADMIN, M.",Devin M Shanthikumar,dshanthi,Paul Merage School of Business
"ADMIN, M.",Elizabeth Chuk,elizchuk,Paul Merage School of Business
"ADMIN, M.",Margarethe F Wiersema,mfwierse,Paul Merage School of Business
"ADMIN, M.",Vijay Gurbaxani,vgurbaxa,Paul Merage School of Business
"AGAPIE, E.",Elena Agapie,eagapie,Informatics
"AGGARWAL, N.",Neerja Aggarwal,nagg,Economics
"AGHAKOUCHAK, A.",Amir Aghakouchak,amir9a,Civil & Environmental Engineering
"AGHASI, H.",Hamidreza Aghasi,haghasi,Electrical Engineering & Computer Science
"AGUILAR-ROCA, N.",Nancy Maria Aguilar-Roca,nmaguila,Ecology & Evolutionary Biology
"AHMAD, A.",Aijaz Ahmad,aijaza,Comparative Literature
"AHMED, A.",Aziza Ahmed,azizaa1,School of Law
"AHMED, I.",Iftekhar Ahmed,iftekha,Informatics
"AHN, J.",June Ahn,junea,Education
"AIGNER, D.J.",Dennis J Aigner,djaigner,Paul Merage School of Business
"AKAGI, K.",Kei Akagi,kakagi,Arts-Music
"AKASAKI, T.",Takeo Akasaki,takasaki,Mathematics
"AL FARUQUE, M.",Mohammad A Al Faruque,alfaruqu,Electrical Engineering & Computer Science
"AL-BULUSHI, S.",Samar Mussa Al-Bulushi,salbulus,Anthropology
"AL-BULUSHI, Y.",Yousuf Al-Bulushi,yalbulus,Global & International Studies
"ALACHKAR, A.",Amal Alachkar,aalachka,Pharmaceutical Sciences
"ALAO, N.",Nurudeen Alao,noalao,Social Sciences Undergraduate Student Affairs
"ALBRECHT, L.",Lauren Veronica Albrecht,lvalbrec,Pharmaceutical Sciences
"ALCARAZ, L.",Lonnie Rafael Alcaraz,lalcaraz,Arts-Drama
"ALEXANDER, J.",Jonathan Alexander,jfalexan,English
"ALFARO, S.",Shannon L Alfaro,alfaro,Computer Science
"ALLAIRE, M.",Maura Allaire,mallaire,Urban Planning & Public Policy
"ALLARD, J.",Jun F Allard,jallard,Mathematics
"ALLEN, E.",Elizabeth Gage Allen,eallen,English
"ALLISON, S.",Steven D Allison,allisons,Ecology & Evolutionary Biology
"AMAR SANCHEZ, A.",Ana Maria Amar Sanchez,aamarsan,Spanish & Portuguese
"AMENTA, E.",Edwin Amenta,ea3,Sociology
"AMIN, A.",Alpesh N Amin,anamin,SOM - Department of Medicine
"AMIRAN, E.",Eyal Amiran,amiran,Comparative Literature
"AMIRI SANI, A.",Ardalan Amiri Sani,ardalan,Computer Science
"ANASTAS, R.",Rhea Anastas,ranastas,Arts-Studio Art
"ANDREASEN, M.",Michael J Andreasen,mandreas,English
"ANDRICIOAEI, I.",Ioan Andricioaei,andricio,Chemistry
"AOUAD, M.",Marion Aouad,maouad2,Economics
"APELIAN, D.",Diran Apelian,dapelian,Materials Science and Engineering
"APKARIAN, A.",Ara Apkarian,aapkaria,Chemistry
"APPEL, K.",Kevin H Appel,kappel,Arts-Studio Art
"ARASASINGHAM, R.",Ramesh D Arasasingham,rdarasas,Chemistry
"ARCHER, C.",Cindy Thomas Archer,ctarcher,School of Law
"ARDITTI, J.",Joseph Arditti,jarditti,Developmental and Cell Biology
"ARDO, S.",Shane Ardo,ardo,Chemistry
"ARDONA, H.",Herdeline Ann Mallari Ardona,hardona,Chemical & Biomolecular Engineering
"ARGUILLA, M.",Maxx Q Arguilla,marguill,Chemistry
"ARORA, K.",Kavita Arora,karora,Developmental and Cell Biology
"ARTHI, V.",Vellore Arthi,varthi,Economics
"ARUM, R.",Richard Arum,rarum,Education
"ASCHER, K.",Kenneth Ascher,kascher,Mathematics
"ASHAR, S.",Sameer M Ashar,ashars1,School of Law
"ASWAD, D.",Dana W Aswad,dwaswad,Molecular Biology & Biochemistry
"ATANASSOV, P.",Plamen Borissov Atanassov,atanassp,Chemical & Biomolecular Engineering
"ATHANASIOU, K.",Kyriacos A Athanasiou,athens,Biomedical Engineering
"ATLURI, S.",Satya Atluri,satluri,Mechanical & Aerospace Engineering
"ATSATT, P.R.",Peter R Atsatt,pratsatt,Ecology & Evolutionary Biology
"ATWOOD, S.",Scott Atwood,satwood,Developmental and Cell Biology
"AU, S.",Stephanie C Au,stephaca,Sue & Bill Gross School of Nursing
"AVILES, L.",Luis Aviles,laviles,Spanish & Portuguese
"AVISE, J.",John C Avise,javise,Ecology & Evolutionary Biology
"AWAD, S.",Sarah Awad,sawad2,Arts-Studio Art
"AYANOGLU, E.",Ender Ayanoglu,ayanoglu,Electrical Engineering & Computer Science
"Abbeele, G.",Georges Yves Francois Van Den Abbeele,gvandena,European Languages and Studies
"Ang, A.",Alfredo H S Ang,ahang,Civil & Environmental Engineering
"BAGHERZADEH, N.",Nader Bagherzadeh,nader,Electrical Engineering & Computer Science
"BAILEY, D.",Drew Halford Bailey,dhbailey,Education
"BAILEY, S.",Stanley Bailey,bailey,Sociology
"BAKER, R.",Rachel Barth Baker,rachelbb,Education
"BALDI, B.",Brigitte Baldi,baldib,Statistics
"BALDI, P.",Pierre F Baldi,pfbaldi,Computer Science
"BALDWIN, J.",Jane Wilson Baldwin,baldwij1,Earth System Science
"BALDWIN, M.",Mark S. Baldwin,baldwinm,Informatics
"BALIBAR, E.",Etienne Balibar,ebalibar,European Languages and Studies
"BALLAKRISHNEN, S.",Swethaa Ballakrishnen,sballakr,School of Law
"BANDELJ, N.",Nina Bandelj,nbandelj,Sociology
"BANERJEE, T.",Tirtha Banerjee,tirthab,Civil & Environmental Engineering
"BARANOVSKY, V.",Vladimir Baranovsky,vbaranov,Mathematics
"BARBOUR, A.",Alan G Barbour,abarbour,SOM - Microbiology & Molecular Genetics
"BARDWELL, L.",Lee Bardwell,bardwell,Developmental and Cell Biology
"BARKER, S.",Stephen F Barker,barker,Arts-Drama
"BARNES, M.",Mario Lamount Barnes,mbarnes2,School of Law
"BARRETT, J.",Jeffrey A Barrett,jabarret,Logic & Philosophy of Science
"BARRY, R.",Rachael M Barry,rmbarry,Molecular Biology & Biochemistry
"BARTELL, S.",Scott M Bartell,sbartell,Environmental & Occupational Health - Faculty
"BARTH, A.",Aaron J Barth,barth,Physics and Astronomy
"BARTLETT, J.",Jami L Bartlett,jlbartle,English
