major,major_name,required_classes
aerospaceengineering_bs,Aerospace Engineering,"['CHEM1A', 'orENGR1A', 'CHEM1LE', 'MATH2A', 'MATH2B', 'MATH2D', 'MATH2E', 'MATH3A', 'MATH3D', 'PHYSICS7C', 'PHYSICS7LC', 'PHYSICS7D', 'PHYSICS7E', 'PHYSICS7LD', 'PHYSICS52A', 'ENGR54', 'ENGRMAE10', 'ENGRMAE30', 'ENGRMAE60', 'orEECS70A', 'ENGRMAE80', 'ENGRMAE91', 'ENGRMAE106', 'ENGRMAE108', 'ENGRMAE112', 'ENGRMAE130A', 'ENGRMAE130B', 'ENGRMAE130C', 'ENGRMAE136', 'ENGRMAE146', 'ENGRMAE150', 'ENGRMAE150L', 'ENGRMAE157', 'ENGRMAE158', 'ENGRMAE159', 'ENGRMAE170', 'ENGRMAE175', 'ENGR7A', 'ENGR7B', 'ENGRCEE125', 'ENGRCEE160', 'ENGRCEE165', 'EECS152A', 'EECS152B', 'MSE190', 'BME111', 'BME120', 'BME121', 'STATS67', 'COMPSCI131', 'PHYSICS111A', 'PHYSICS111B', 'PHYSICS112A', 'PHYSICS112B', 'ECON20A', 'orECON23', 'ENGR190W']"
africanamericanstudies_ba,African American Studies,"['AFAM40A', 'AFAM40B', 'AFAM40C', 'AFAM221', 'AFAM221', 'AFAM222', 'AFAM222', 'AFAM223', 'AFAM224', 'AFAM225', 'AFAM228', 'AFAM245', 'AFAM248', 'AFAM264', 'AFAM264', 'AFAM267', 'AFAM268', 'AFAM283', 'AFAM284', 'AFAM285', 'AFAM301', 'AFAM302', 'AFAM303', 'AFAM304', 'AFAM305', 'AFAM306', 'AFAM307', 'AFAM308', 'AFAM309', 'AFAM162W']"
anthropology_ba,Antrhopology,"['ANTHRO2A', 'ANTHRO2B', 'ANTHRO2C', 'ANTHRO2D', 'ANTHRO2B', 'ANTHRO2C', 'ANTHRO2D', 'ANTHRO100A', 'ANTHRO100B', 'ANTHRO180AW']"
appliedphysics_bs,Applied Physics,"['MATH2A', 'orMATH5A', 'MATH2B', 'MATH2D', 'MATH2E', 'MATH3A', 'MATH3D', 'PHYSICS50', 'PHYSICS61A', 'orPHYSICS51A', 'PHYSICS111A', 'PHYSICS112A', 'PHYSICS113A', 'PHYSICS115A', 'PHYSICS53', 'I&CSCI45C', 'MATH9', 'EECS10', 'EECS12', 'PHYSICS60', 'CHEM1C', 'ENGRMAE91', 'CHEM1LC', 'CHEM1LD', 'CHEM51LB', 'CHEM51LC', 'ENGR7A', 'ENGR7B', 'EECS70LA', 'EECS70LB', 'PHYSICS106W', 'PHYSICS120', 'PHYSICS121W', 'PHYSICS139', 'PHYSICS193', 'PHYSICS196C', 'PHYSICS194', 'PHYSCI139W', 'EDUC143BW', 'BIOSCI97', 'BIOSCI98', 'BIOSCI99', 'CHEM1LC', 'CHEM1LD', 'CHEM51A', 'CHEM51B', 'CHEM1A', 'CHEM1B', 'CHEM1C', 'CHEM1LC', 'CHEM1LD', 'CHEM51B', 'CHEM51A', 'BIOSCI97', 'BIOSCI98', 'BIOSCI99', 'EECS70A', 'EECS70B', 'EECS70LB', 'EECS170A', 'EECS170LA', 'EECS170B', 'EECS170LB', 'EECS170C', 'EECS170LC', 'EECS174', 'EECS188', 'ENGRMAE120', 'ENGRMAE130A', 'ENGRMAE147', 'EECS70A', 'EECS70B', 'EECS70LB', 'EECS170A', 'EECS170LA', 'EECS170B', 'EECS170LB', 'PHYSICS106W', 'EECS188', 'EECS170C', 'EECS170LC']"
art_ba,Art,"['ART1A', 'ART1B', 'ART1C', 'ART9A', 'ART11A', 'ARTHIS40A', 'ARTHIS40B', 'ARTHIS40C', 'ARTHIS42A', 'ARTHIS42B', 'ARTHIS42C', 'ARTHIS42D']"
arthistory_ba,Art History,"['ARTHIS30', 'ARTHIS40A', 'ARTHIS40B', 'ARTHIS40C', 'ARTHIS42A', 'ARTHIS42B', 'ARTHIS42C', 'ARTHIS42D', 'ARTHIS42E', 'ARTHIS44', 'ARTHIS55', 'ARTHIS155A', 'ARTHIS110', 'ARTHIS111B', 'ARTHIS114', 'ARTHIS155B', 'ARTHIS151B', 'ARTHIS165A', 'ARTHIS134C', 'ARTHIS134D', 'ARTHIS134E', 'ARTHIS145A', 'ARTHIS151C', 'ARTHIS156', 'ARTHIS164A', 'ARTHIS164E', 'ARTHIS165B', 'ARTHIS165C', 'ARTHIS140A', 'ARTHIS140B', 'ARTHIS145B', 'ARTHIS162C', 'ARTHIS163', 'ARTHIS164B', 'ARTHIS164D', 'ARTHIS190W', 'ARTHIS198']"
asianamericanstudies_ba,Asian American Studies,"['ASIANAM50', 'orASIANAM51', 'ASIANAM52', 'orASIANAM53', 'ASIANAM54', 'orASIANAM55', 'ASIANAM100W']"
biochemistryandmolecularbiology_bs,Biochemsitry and Molecular Biology,"['CHEM128', 'CHEM132A', 'CHEM132B', 'CHEM132C', 'PHRMSCI170A', 'PHRMSCI171', 'CHEM128', 'CHEM132A', 'CHEM132B', 'CHEM132C', 'PHRMSCI170A', 'PHRMSCI171']"
biologicalsciences_bs,Biological Sciences,"['CHEM132A', 'CHEM132B', 'CHEM132C', 'PHRMSCI170A', 'PHRMSCI170B', 'PHRMSCI171', 'PHRMSCI173', 'PHRMSCI174', 'PHRMSCI177', 'BIOSCI14', 'BIOSCI101', 'EARTHSS1', 'EARTHSS7', 'PHYSICS20A', 'PHYSICS20B', 'EDUC108', 'EDUC124', 'EDUC128', 'EDUC131', 'EDUC173']"
biologyeducation_bs,Biology Education,"['PHRMSCI170A', 'PHRMSCI170B', 'PHRMSCI171', 'PHRMSCI173', 'PHRMSCI174', 'CHEM177', 'BIOSCI14', 'BIOSCI101', 'BIOSCI108', 'EDUC55', 'EDUC109', 'EDUC143AW', 'EDUC143BW', 'EDUC148', 'EDUC158', 'BIOSCI14', 'BIOSCI101', 'BIOSCI108', 'EDUC55', 'EDUC109', 'EDUC143AW', 'EDUC143BW', 'EDUC148', 'EDUC158', 'LPS60', 'BIOSCI101', 'EDUC55', 'EDUC109', 'EDUC143AW', 'EDUC143BW', 'EDUC148', 'EDUC158', 'EARTHSS1', 'EARTHSS7', 'PHYSICS20A', 'BIOSCI101', 'EDUC143AW', 'EDUC148']"
