Name,Rating,Difficulty
Kevork Abazajian,5,4
Ackbar Abbas,3.1,2.7
Tayloria Adams,0,0
Elizabeth Chuk,4.1,3.3
Neerja Aggarwal,4.5,2.8
Amir Aghakouchak,4,3.4
Hamidreza Aghasi,4.4,3.6
Aijaz Ahmad,0,0
Aziza Ahmed,2,3
Iftekhar Ahmed,2.6,4.3
Kei Akagi,4,2.7
Mohammad Al Faruque,2.2,4
Yousuf Al-Bulushi,0,0
Amal Alachkar,3.8,3.9
Nurudeen Alao,3.4,2
Jonathan Alexander,4.8,2.8
Maura Allaire,2,5
Ana Maria Amar Sanchez,3.8,2.5
Edwin Amenta,4.3,2.8
Eyal Amiran,4.5,2.6
Ardalan Amiri Sani,3.3,3.5
Rhea Anastas,4,2
Ioan Andricioaei,3.8,2.8
Diran Apelian,4.5,3.2
Ramesh D. Arasasingham,4.6,4
Shane Ardo,4.3,3.6
Kavita Arora,4,3.2
Vellore Arthi,3,3.9
Richard Arum,4.2,2.6
Kyriacos Athanasiou,5,2.7
Scott Atwood,4.3,5
Stephanie Austin- Campbell,4.9,2
Luis Aviles,4.8,1.4
Sarah Awad,2.6,3.8
Ender Ayanoglu,4.3,3.2
Nader Bagherzadeh,2,4
Stanley Bailey,3.8,2.1
Brigitte Baldi,4,4.3
Etienne Balibar,0,0
Nina Bandelj,4.1,2.4
Vladimir Baranovsky,3.5,3.3
Lee Bardwell,4.5,3
Steven W. Barwick,3.3,3.9
Srimati Basu,2.2,4.4
David Bell,4.4,3.6
Ermanno Bencivenga,3,3.1
Houri Berberian,4.9,3.9
Patrick Bergemann,5,2
Veronica Berrocal,2.3,4.6
Roland Betancourt,3.3,3
Jianming Bian,4.3,2.3
Lubomir Bic,3.3,2.9
Zuzana Bic,3.8,2.5
Anke Biendarra,2.9,3.3
Matthew Bietz,4.5,2.4
Sharon Block,4.5,2.6
Suzanne Blum,4,3
Bruce Blumberg,4,3.5
Thomas David Boellstorff,4.6,2
Daniel E. Bogart,3.8,3.3
Scott Bollens,4.9,3.3
Anna Boncompagni,2.4,3.3
Aaron Bornstein,4.1,2.6
Jennifer Bornstein,3.4,3.8
Andrew Borovik,4.6,3
Alex Borucki,4.3,3.5
Peter A. Bowler,4.8,2.3
William Bowman,4.3,4
Ozdal Boyraz,3,3.8
Elaheh Bozorgzadeh,3,4
Tonya Bradford,2,3.5
Paulo Brando,4.5,2
Alyssa Brewer,5,4
Adriana Darielle Mejia Briscoe,3.8,2.7
David Brodbeck,3.5,4.1
Sarah E Brown,0,0
Andrew Browne,4.8,2.6
David Brownstone,1.7,3.9
Peter J. Bryant,3.5,2.3
David A. Buote,3,3.3
Kieron Burke,2.6,3.4
Anton Burtsev,4.4,4.4
Andres Bustamante,4,2.9
Carter Butts,3.8,2.6
Behnaz Bojd,3,4
Anita Casavantes-Bradford,4.1,3.1
Lawrence F. Cahill,3.7,4
Kitty C. Calavita,4.5,2.9
Anne Calof,0,0
Diane Campbell,4.5,2
Belinda Campos,4.8,2.4
Hung Cao,2.9,2.4
Penghui Cao,4.3,1
Filippo Capolino,1.7,3.6
Gustavo Carlo,3.8,2
Ronald Carlson,3.5,3.5
David Carroll,3.2,3.6
Juli Carson,2.8,3.2
David Carter,2.4,3.3
Marie Cartier,4.3,2.8
Jean Paul Carvalho,4,3.1
Peter Li,3.5,2.9
David William Casper,2.3,4.4
Dennis R. Castellano,4.6,2.8
Jeanett Castellanos,3.6,3.3
Elizabeth Cauffman,3.9,4.3
Jefferson Chan,3.4,4.4
Gary A. Chanan,3.7,3.4
Peter Chang,4.1,1.6
John Chaput,2.9,3.9
Vinayak Chaturvedi,3.2,3.4
Leo Chavez,3.4,2.3
Chuansheng Chen,3.4,3.1
Hanning Chen,5,1
Jiawei Chen,3.3,2.6
Chen Liu,5,4
Long Chen,3.9,4.4
Mu-Chun Chen,3.9,3.4
Qi Chen,4.8,2.6
Yunan Chen,3.4,1.6
Zhongping Chen,3.6,2.9
Chengcheng Wen,4.4,3.5
Nadia Chernyak,4.6,2.9
Alexander L. Chernyshev,2.5,3.9
Natalia Chernyshoff,3,4.1
Kenneth S. Chew,3.4,2.7
James Chiampi,4.5,2.8
Julie Chiaverini,5,1.8
Bernard Choi,5,3.6
Chungmoo Choi,2.7,3.4
Vidyanand Choudhary,2.5,4.5
Jerome Christensen,2.2,4
Olivier Cinquin,2.8,2.9
Damon Clark,3.2,3.5
Melanie Cocco,2.3,4.3
Susana Cohen-Cory,4.6,2.8
Simon A. Cole,2.9,3.6
Annalisa Coliva,3.1,3.5
Philip Collins,3.5,4.3
Rachael Collins,4.8,3.8
Michael Cooper,4.7,2.1
Robert Cornejo,3.8,2.2
Miles Corwin,5,3
Michael C. Cranston,4,2.7
Elliott P. Currie,5,2.3
Patricia Cyr,4.5,2.9
Aparna Chandramowlishwaran,5,4.5
Thomas Michael D'Zmura,4.1,2.5
Donald Dabdub,3.8,3.7
James N. Danziger,4.9,3.4
Eve Darian-Smith,3.7,2.8
Touraj Daryaee,4.3,1.6
Sohail Daulatzai,3.5,4.1
"Christopher ""J. P."" Davis",0,0
Jonathan Davis,5,1.7
Franco De Flaviis,2.1,3.9
Rina Dechter,2.9,3.5
Lorene Delany-Ullman,3.9,4.5
Louis Desipio,3.5,3.4
Michael Dessen,3.9,2.1
Fabrizio Di Maio,5,2.9
Michelle Digman,1,5
Fangyuan Ding,4.8,3
John Christopher Dobrian,4.6,3
Rainer Doemer,3.9,3.6
Mine Dogucu,4.1,3.8
Franklin Dollar,2.5,4.1
John Dombrink,3.6,2.7
Yingying Dong,3.4,3.5
Shayan Doroudi,4,3.4
